24639, 134
31992, 131
33562, 127
33173, 125
28199, 123
19127, 116
25694, 115
6627, 113
18200, 113
22029, 113
17207, 112
34930, 111
30453, 108
19426, 107
9420, 106
15687, 106
20620, 106
13367, 105
1289, 103
5578, 103
35300, 103
14734, 101
6773, 100
10059, 100
25920, 100
30360, 99
2464, 98
34223, 98
9577, 97
23089, 96
1397, 95
26743, 95
30616, 95
6461, 94
10446, 94
12997, 94
30087, 94
18741, 93
33266, 93
34351, 93
3077, 92
6821, 92
27132, 92
28964, 92
30653, 92
9913, 91
23507, 91
11366, 90
15086, 90
17463, 90
21081, 90
26197, 90
10200, 89
14616, 89
33500, 89
33603, 89
1076, 88
11259, 88
25886, 88
19478, 87
21765, 87
21913, 87
12866, 86
17648, 86
6111, 85
7597, 85
28688, 85
31220, 85
32019, 85
22976, 84
3841, 83
12102, 83
32916, 83
2578, 82
15917, 82
26285, 82
33788, 82
36109, 82
23030, 81
24479, 81
1447, 80
10546, 80
10685, 80
24488, 80
33546, 80
2623, 79
8216, 79
8394, 79
15971, 79
18099, 79
36204, 79
6699, 78
15280, 78
35390, 78
6314, 77
18717, 77
19725, 77
19907, 77
21412, 77
25304, 77
27660, 77
35738, 77
36872, 77
6446, 76
11618, 76
15452, 76
12354, 75
13726, 75
15743, 75
17380, 75
21099, 75
34602, 75
876, 74
7923, 74
8013, 74
12305, 74
17389, 74
25278, 74
2108, 73
2712, 73
5292, 73
8035, 73
9893, 73
28701, 73
37065, 73
2143, 72
8519, 72
17529, 72
20941, 72
25421, 72
33475, 72
33755, 72
2911, 71
4762, 71
6263, 71
7592, 71
26468, 71
27569, 71
31136, 71
33780, 71
34517, 71
269, 70
551, 70
2339, 70
4475, 70
4735, 70
14101, 70
16367, 70
17082, 70
18389, 70
26024, 70
26804, 70
30595, 70
31971, 70
36855, 70
21459, 69
23188, 69
24626, 69
31836, 69
35381, 69
37132, 69
2041, 68
6405, 68
6595, 68
10469, 68
12454, 68
16571, 68
19332, 68
2442, 67
3456, 67
3527, 67
3680, 67
9607, 67
15983, 67
31037, 67
34595, 67
4605, 66
12362, 66
14932, 66
16153, 66
24547, 66
27562, 66
27780, 66
30717, 66
775, 65
7368, 65
17445, 65
18546, 65
22002, 65
23336, 65
29219, 65
3431, 64
17644, 64
20255, 64
25363, 64
26951, 64
32347, 64
5227, 63
7903, 63
15593, 63
29848, 63
33298, 63
8205, 62
17815, 62
21495, 62
25938, 62
31076, 62
31978, 62
32674, 62
35247, 62
35391, 62
35486, 62
2049, 61
7393, 61
8549, 61
24786, 61
28431, 61
29805, 61
29915, 61
32287, 61
33443, 61
34090, 61
34891, 61
3006, 60
11237, 60
13502, 60
18170, 60
18615, 60
18645, 60
21304, 60
22341, 60
24512, 60
32578, 60
33175, 60
15469, 59
17205, 59
17645, 59
22813, 59
25500, 59
26491, 59
27322, 59
29221, 59
30019, 59
34633, 59
36723, 59
3457, 58
4228, 58
5128, 58
8759, 58
13198, 58
14839, 58
17152, 58
19632, 58
19837, 58
23293, 58
1448, 57
5488, 57
5945, 57
10488, 57
14351, 57
16345, 57
17107, 57
23388, 57
23949, 57
27352, 57
29005, 57
30942, 57
4105, 56
7759, 56
10514, 56
13782, 56
13886, 56
14366, 56
16484, 56
17149, 56
17597, 56
17936, 56
19271, 56
22254, 56
25939, 56
29046, 56
29239, 56
32337, 56
32479, 56
35293, 56
36811, 56
8156, 55
10701, 55
14532, 55
14785, 55
16272, 55
16845, 55
17782, 55
20745, 55
21406, 55
23282, 55
23833, 55
26621, 55
26884, 55
30924, 55
30964, 55
33543, 55
7274, 54
7811, 54
8496, 54
12669, 54
14020, 54
23516, 54
24880, 54
30278, 54
32308, 54
366, 53
3216, 53
7086, 53
7342, 53
11210, 53
16687, 53
17383, 53
19637, 53
19798, 53
20635, 53
26658, 53
26681, 53
28213, 53
29570, 53
34403, 53
35100, 53
36957, 53
12, 52
3242, 52
3985, 52
6343, 52
6552, 52
11774, 52
16169, 52
22850, 52
25940, 52
26325, 52
27502, 52
30622, 52
30755, 52
6612, 51
6871, 51
9012, 51
9735, 51
9894, 51
11264, 51
11868, 51
15973, 51
18139, 51
21157, 51
23951, 51
25209, 51
31341, 51
2227, 50
6561, 50
14076, 50
16766, 50
16803, 50
25925, 50
26332, 50
27650, 50
28109, 50
30516, 50
31250, 50
31254, 50
32375, 50
8368, 49
12653, 49
21651, 49
22272, 49
22347, 49
22904, 49
24109, 49
30910, 49
30982, 49
32591, 49
603, 48
3704, 48
5889, 48
6068, 48
7107, 48
8040, 48
9164, 48
9415, 48
11964, 48
12023, 48
12292, 48
12384, 48
15599, 48
20484, 48
25257, 48
27116, 48
29448, 48
30514, 48
30898, 48
34614, 48
36248, 48
36492, 48
2234, 47
2523, 47
3661, 47
4327, 47
5352, 47
6254, 47
7788, 47
7824, 47
8146, 47
9930, 47
10193, 47
11458, 47
14738, 47
18383, 47
22385, 47
23598, 47
25467, 47
30909, 47
31759, 47
31825, 47
33598, 47
35129, 47
35695, 47
36982, 47
228, 46
479, 46
559, 46
2050, 46
4386, 46
4833, 46
6574, 46
7992, 46
11900, 46
12180, 46
12255, 46
12873, 46
13069, 46
13530, 46
14707, 46
14767, 46
15615, 46
18303, 46
18970, 46
19897, 46
27409, 46
33194, 46
34473, 46
1209, 45
3674, 45
4122, 45
4785, 45
7036, 45
9052, 45
14669, 45
23145, 45
23506, 45
25656, 45
26762, 45
27358, 45
27610, 45
28102, 45
30925, 45
32083, 45
35579, 45
36663, 45
3366, 44
8717, 44
9730, 44
9902, 44
12077, 44
13094, 44
16356, 44
16876, 44
17943, 44
18987, 44
19020, 44
20063, 44
22211, 44
23326, 44
24716, 44
25513, 44
26147, 44
