3456,"{1, 2561, 12643, 4100, 4615, 9319, 9706, 5872, 1783, 14872, 9529, 7003, 2431}"
3527,"{6407, 5000, 12167, 2199, 13721, 6438, 4135, 424, 8371, 6583, 13241, 827, 8251, 11452, 15044, 12999, 12489, 2772, 5849, 7910, 9323, 10987, 4465, 1266, 5875, 6898, 6137, 10876, 5501}"
3864,"{1793, 11718}"
3920,{5833}
5248,"{12423, 8091, 2174, 12822}"
6111,"{8330, 2578, 8470, 14244, 3508, 3384, 8389, 842, 1740, 4431, 10705, 11986, 3284, 7513, 9178, 7906, 7910, 9963, 6000, 3575, 5756, 9983}"
6249,"{1, 1606, 10732, 365, 4173, 4846, 1680, 4881, 13716, 1941, 3384, 13179, 9949, 5759}"
6703,"{8736, 10956, 7249, 14451, 11511, 5624, 1913, 12222}"
7393,"{11961, 8939, 5869}"
11618,"{1152, 1, 12544, 14208, 2310, 14087, 9095, 7689, 11145, 14859, 9615, 10896, 13584, 12311, 7191, 13466, 5403, 8348, 8479, 7967, 7839, 4386, 4261, 11686, 1831, 935, 1067, 4011, 4142, 8626, 9268, 309, 11704, 10810, 5179, 187, 3387, 827, 7483, 6720, 9019, 12092, 9923, 13632, 10051, 6469, 5959, 11465, 843, 7503, 10063, 721, 15318, 12000, 2145, 12640, 9195, 12012, 8813, 5614, 5743, 8174, 1522, 2420, 6775, 3834, 13694}"
14227,"{1, 15206, 13166, 2515, 11996, 4669}"
16571,"{6912, 11457, 11328, 11969, 1889, 9060, 6438, 13862, 3430, 7020, 3406, 14159, 2481, 4980, 7734, 920, 3577, 3838, 4351}"
19022,"{11520, 4232, 14765, 6352, 3507, 13270, 15351}"
19478,"{1, 6663, 8723, 403, 920, 4386, 6053, 14131, 11060, 1078, 13370, 4031, 3522, 1475, 11458, 8658, 11099, 7644, 10717, 12769, 1511, 8424, 745, 13546, 2030, 12654, 13296, 5233, 10481, 15093, 5882}"
19629,{562}
20484,"{12416, 3041, 12162, 13696, 6469, 3655, 14155, 14159, 9328, 14512, 12021, 950, 12215, 14709, 1721, 6110}"
