1,"{5248, 7393, 33603, 20484, 3527, 27660, 19629, 19022, 6703, 3920, 21101, 28083, 22932, 33173, 23507, 3864, 16571, 33213, 6111}"
2,{7758}
3,"{28153, 5475, 21996}"
4,"{25656, 23217}"
5,"{3100, 2164, 20252, 17815}"
7,"{10113, 18857}"
8,"{14976, 27648, 24514, 25912, 17924, 17701, 23431, 10028, 10766, 5681, 4244, 24440}"
9,{31444}
10,{21660}
11,{21606}
12,{21027}
13,{9855}
14,"{25939, 3771, 33679}"
15,"{13298, 25363, 1686}"
16,"{15691, 23696, 7281, 6201, 3388}"
17,{22328}
18,"{19907, 14629, 20428, 14669, 15917, 32019, 17107, 17782, 24479, 14878, 16511}"
19,"{26454, 19188, 16397, 11366}"
20,"{960, 25888, 20620}"
21,"{12656, 35760}"
22,"{19785, 34930, 19637, 20063}"
23,{36204}
24,{30960}
25,"{15593, 28385}"
26,{9607}
27,"{22433, 10059, 19987, 13782, 16571}"
28,"{26946, 32164, 3077, 26762, 2522, 13430, 16826, 6461, 35390}"
29,{14322}
30,{17671}
31,{9123}
32,"{29308, 30653}"
33,{19370}
34,"{17190, 14762, 6014}"
35,"{26585, 19987}"
36,"{17856, 33699, 18911, 33173, 31992, 32479}"
37,{33282}
38,"{36537, 7194, 15743}"
39,"{17529, 27339, 3431}"
40,"{14629, 2247, 6152, 18038, 19452}"
41,{3680}
42,"{418, 28199}"
43,"{31992, 12458}"
44,{28192}
45,"{10427, 26340, 10134}"
46,"{5054, 26639}"
47,{11316}
48,"{24449, 26050, 30595, 13198}"
49,"{30728, 36028, 20389, 12076}"
50,"{28688, 26804, 8549, 13502}"
51,"{8216, 33266, 32476, 17207}"
52,"{34713, 11012}"
53,"{23160, 36872, 10701, 4359}"
54,"{12586, 31439, 24183, 11645, 15614, 9535}"
55,"{36201, 35069, 31770, 18012, 19261, 27070}"
56,"{7352, 9816, 32806}"
57,{24786}
58,"{8394, 10758}"
59,"{27584, 16499, 6821, 21459}"
60,{6489}
61,"{3680, 18081, 7083, 11717}"
62,{29848}
63,"{15280, 29243, 35390, 751}"
64,"{20941, 15086}"
65,"{21761, 30634, 11403, 28271}"
66,{9738}
67,"{14976, 505}"
68,{5352}
69,"{34851, 19218, 36051, 19028, 18105}"
70,"{33745, 14118}"
71,"{34657, 2522, 22211, 10446}"
72,"{2858, 29380}"
73,{8567}
74,"{24630, 26743}"
75,{26836}
76,"{21368, 19020}"
77,"{7241, 16153}"
78,{28199}
79,{10452}
80,"{21336, 2971, 30924, 19749}"
81,"{30592, 18105}"
82,{29521}
83,{23240}
84,"{21505, 23172, 26662, 876, 30989, 10446, 3983, 21679, 12689, 31825, 28397, 30516, 4208, 17878, 24376, 21304, 18803, 893, 18719}"
85,{15687}
86,"{27472, 17721, 6946}"
87,"{13249, 6405, 23598, 6446, 28466, 27836}"
88,"{32802, 22375, 4658, 17272, 27225, 14266}"
89,{11624}
90,{33443}
91,{30942}
92,{17472}
93,"{30360, 562, 35995}"
94,"{26626, 23240, 11499, 29247, 14959, 13782, 8855, 10271}"
95,"{6112, 8482, 6343, 37132, 27116, 1518, 31726, 6258, 33562, 9052}"
96,"{5520, 7521, 1284, 1709}"
97,{29664}
98,{9730}
99,"{31641, 5, 2031}"
100,"{30796, 8013}"
101,{20941}
102,"{17472, 6017, 27885}"
103,"{26540, 23958}"
104,"{35258, 8371, 6461}"
105,"{2339, 18741}"
106,"{21740, 28966, 13574}"
107,{15086}
108,"{1397, 27686}"
109,"{28568, 35390, 13782, 21495}"
110,"{34979, 28102}"
111,"{8035, 35300, 11366, 20620, 269, 23949, 6703, 2911}"
112,{36872}
113,"{25732, 11693, 13367}"
114,"{21959, 33686, 6183}"
115,{32806}
116,"{5578, 9420, 30877}"
117,{31914}
118,"{12997, 24910, 6446, 33398, 16059, 32476}"
119,"{36306, 26197}"
120,"{17099, 26795}"
121,{8788}
122,"{10752, 26627, 9476, 1289, 8717, 14481, 18966, 8599, 33175, 19478, 17690, 13726, 5926, 14630, 36264, 5292, 25645, 14508, 34223, 14001, 6066, 4532, 1592, 22330, 12731, 8252, 7876, 14789, 27718, 27339, 29005, 5330, 7511, 25304, 12255, 11872, 15072, 31586, 32483, 100, 11109, 11237, 876, 19696, 30964}"
123,"{16272, 15638}"
124,"{6853, 11558, 3623, 23273, 2972, 25675, 20556, 23949, 26606, 12340, 27317, 34614, 7771, 23036, 19199}"
125,"{11872, 6595, 10546, 32341, 5945}"
126,"{19642, 28102, 14351}"
127,"{26468, 36037, 28102, 3366, 32777, 32044, 13101, 912, 34448, 23569, 12720, 52, 18612, 26197, 17648, 25304, 29813, 33562, 13373}"
128,"{9066, 17645, 3954, 4532, 17239, 33562}"
129,{3174}
130,{17082}
131,"{19040, 2541}"
132,{26596}
133,{7824}
134,{15508}
135,"{12088, 25562, 15917, 2829}"
136,{8394}
137,{34891}
138,{17644}
139,"{5578, 25886, 24639}"
140,{32636}
141,"{17207, 16484, 20941, 29260}"
142,"{21336, 36761, 32262}"
143,"{29673, 36889}"
144,{19935}
145,{32269}
146,{12102}
147,"{27425, 5082, 35075, 36838, 4381, 15755, 10701, 4909, 13869, 35409, 32947, 1652, 36281, 7098, 27965, 30142}"
148,"{10546, 7287}"
149,"{34595, 15973, 4295, 34633, 23956, 10488, 25656, 11708}"
150,{20534}
151,"{21304, 7076, 228, 29807}"
152,"{4102, 4105, 10255, 28691, 10262, 26138, 18970, 32797, 14878, 22050, 32803, 27684, 1576, 9258, 18986, 5166, 6193, 13361, 24626, 1586, 12859, 15420, 10301, 8764, 12873, 31819, 18513, 21590, 4199, 13420, 5747, 20084, 31351, 9854, 18562, 30851, 16005, 23692, 1677, 28815, 26257, 15508, 33940, 12442, 18586, 24732, 3742, 6304, 18593, 12961, 36513, 33443, 8358, 12454, 12457, 6314, 10416, 8880, 8882, 20673, 16065, 20168, 21707, 5844, 37078, 34007, 7387, 32992, 14050, 3812, 20709, 30436, 34537, 28394, 34541, 36078, 1264, 3316, 10996, 11512, 18170, 7419, 8447, 7937, 15107, 13061, 8966, 34565, 20745, 23817, 5902, 21775, 35088, 23313, 30483, 14616, 7961, 9498, 5403, 18720, 33574, 19241, 24362, 27433, 34607, 25904, 23857, 4407, 23868, 24897, 24898, 32578, 17732, 13637, 4936, 2381, 31053, 27476, 10073, 21345, 25954, 867, 33635, 12646, 5993, 30570, 16747, 7022, 12142, 18801, 10098, 18803, 33650, 20859, 35708, 18301, 11648, 27521, 28034, 13701, 10119, 22920, 24971, 27019, 909, 22933, 36248, 7581, 21918, 23967, 34717, 14239, 2977, 7074, 32164, 20387, 25000, 938, 18348, 7597, 32691, 14260, 2485, 36788, 30646, 14264, 7098, 32702, 12738, 17858, 8133, 11718, 15814, 19398, 20427, 36300, 13776, 35281, 976, 33238, 28634, 30172, 2012, 33246, 17373, 14817, 13281, 35300, 36841, 8682, 17387, 27116, 33783, 30197, 22519, 25593}"
153,{5834}
154,{2801}
155,{27722}
156,{30360}
157,{5578}
158,{24626}
159,{25257}
160,{24226}
161,{13754}
162,"{16417, 11170, 34484, 5279}"
163,"{35294, 8646, 3662, 33780, 17310}"
164,"{8035, 29805}"
165,"{12596, 31101}"
166,"{2883, 11750}"
167,"{12305, 3826}"
168,"{35136, 23008, 27650, 21187, 26500, 4100, 876, 31726, 23089, 17183, 34201, 14076, 1853, 14366, 17471}"
169,"{30440, 31268, 28701}"
170,"{34824, 23722, 12368, 28819, 21020, 25150}"
171,"{20817, 8129, 16396}"
172,"{19897, 13767}"
173,"{418, 10085, 25765, 6855, 31825, 11966, 26335}"
174,"{5945, 19987}"
175,"{33441, 24997, 16683, 9837, 36919, 12247, 4441, 14551, 19387, 36380}"
176,"{36869, 13325, 11966}"
177,{7076}
178,{15452}
179,"{7393, 30435, 1732, 3847, 5128, 1192, 29736, 18027, 27675, 32591, 9173, 29046, 21495, 11131, 26621}"
180,"{16482, 34223, 28112, 15099, 15485}"
181,{11992}
182,{7144}
183,{34078}
184,"{20777, 22803, 14579, 16219, 24479}"
185,"{22312, 30633, 18653, 9534}"
186,"{2041, 10082, 13574}"
187,"{8449, 3066, 15939, 14372, 36131, 6221, 14608, 23345, 15034}"
188,"{4602, 19731, 27323}"
189,"{21818, 19243, 8548}"
190,"{20264, 20933}"
191,"{15636, 14455}"
192,"{27765, 24765}"
193,"{15743, 14631}"
194,"{16260, 20228, 31112, 7695, 13072, 26258, 26900, 20635, 16155, 29342, 10783, 17696, 12193, 10915, 35364, 36645, 7591, 1832, 3242, 11435, 6189, 20142, 33711, 3249, 4402, 24756, 19382, 9783, 10297, 6458, 3387, 13630, 29247, 13376, 30910, 3263, 13511, 28234, 4173, 14925, 26325, 24918, 15457, 12642, 7393, 33250, 24547, 4077, 34672, 2290, 34677, 10485}"
195,"{8040, 34657}"
196,"{5050, 12653, 12255}"
197,"{2697, 13961, 25495, 36761, 4123, 29730, 2854, 25000, 34860, 17454, 12997, 12873, 27593, 35279, 6612, 8534, 10072, 10200, 17372, 33388, 1138, 6778, 14076, 8573}"
198,"{11331, 24996, 7274, 20491, 15851, 21099, 27821, 23632, 2164, 36213, 35129}"
199,{5653}
200,"{17856, 18069, 7287}"
201,"{16400, 11937, 27453, 28703}"
202,"{1076, 17383}"
203,"{4039, 18099, 269, 28589}"
204,"{13281, 2824, 27914, 31862, 26360, 17597}"
205,{269}
206,"{3527, 16687, 3216, 27856, 24786, 2712, 25656, 24639}"
207,"{31177, 8759}"
208,{34351}
209,"{664, 4072}"
210,"{21312, 25250, 33797}"
211,"{12851, 13707, 27540, 18741}"
212,{32038}
213,"{1617, 23410, 31992, 30717, 6111}"
214,"{19897, 21761}"
215,{2161}
216,{28902}
217,{26500}
218,{9607}
219,"{6660, 36872, 17418, 22029, 6158, 14358, 17445, 16947, 25149, 12867, 12869, 4170, 28748, 10320, 22608, 32347, 36957, 32355, 30822, 617, 8810, 22122, 2671, 18546, 28275, 6773, 20600, 12927, 34431, 31365, 7306, 16016, 30360, 26786, 3236, 24230, 12463, 30898, 18099, 37042, 3773, 18109, 14533, 9415, 33480, 14537, 35019, 8405, 4318, 19704, 28408, 6905, 8447, 16651, 1292, 2829, 17679, 27923, 4381, 2334, 7967, 3366, 28966, 36660, 31032, 23870, 13119, 22850, 14685, 14692, 4976, 8048, 35714, 387, 909, 2451, 21405, 8096, 27566, 19897, 8127, 18881, 21449, 20939, 21459, 19929, 33764, 34276, 36841, 23530, 12270, 15346, 25084}"
220,"{22480, 28036}"
221,{34517}
222,"{17644, 7759}"
223,"{2578, 30717, 15687, 4039}"
224,"{18024, 20233, 34961, 23506, 18357, 5366, 956}"
225,"{36528, 30453, 14589, 34910}"
226,"{13701, 4105, 1810, 29715, 18966, 6423, 2339, 34470, 1448, 13998, 18483, 18741, 21175, 1592, 14264, 36028, 18881, 17607, 24010, 17107, 15456, 27361, 14050, 30436, 26346, 29805, 36465, 30453, 36855, 2556}"
227,"{29440, 24834, 13701, 19845, 5644, 14988, 18062, 18575, 24081, 15378, 17938, 30995, 14616, 18200, 3609, 17696, 35104, 17825, 26916, 14117, 32806, 14247, 31786, 13355, 11434, 32170, 29101, 17968, 24880, 36784, 20787, 6069, 22838, 29368, 16185, 30137, 7100, 27583, 7873, 27006, 18890, 30027, 13260, 33614, 15695, 31951, 11480, 19163, 31580, 5596, 32992, 2031, 31856, 16367, 13554, 30453, 8823, 35707, 23806}"
228,"{11904, 6274, 31810, 28102, 26861, 29711, 14202, 22525, 12863}"
229,"{25492, 17564, 9415}"
230,{3904}
231,{33649}
232,"{17540, 2951}"
233,"{5352, 11830}"
234,"{15973, 15917, 13701, 4735}"
235,"{18146, 21099, 28909, 1873, 25363, 30521}"
236,"{21443, 20255}"
237,"{21921, 15042, 32737, 35396, 19988, 14356, 14813, 31838}"
238,"{16571, 16876, 24421}"
239,"{19360, 1698, 34891}"
240,{33603}
241,"{30898, 30131}"
242,"{19112, 19624, 33675, 13069, 18383, 14932, 1141, 27135}"
243,"{31825, 19426, 26836}"
244,"{33313, 24966, 20459, 35327, 30637, 3952, 33555, 17913, 29338, 21469, 13247}"
245,{34567}
246,"{1575, 19211, 5293, 13965, 35071}"
247,{12362}
248,"{35939, 22628, 22502, 8519, 32682, 21913, 15293, 18546, 28701, 25624, 8504, 28601, 29915, 31069, 30653}"
249,{27559}
250,{6708}
251,"{22272, 17994, 32011, 21707, 36023}"
252,"{25304, 18881}"
253,"{11400, 33432}"
254,"{7961, 9123, 21636, 8549}"
255,{19127}
256,{7693}
257,{8759}
258,"{5785, 4386, 34043, 5293}"
259,"{13960, 12086}"
260,"{35265, 27660}"
261,"{31233, 27676}"
262,"{8536, 20803}"
263,"{1668, 21642, 29330, 36372, 16159, 32295, 5550, 16175, 10416, 5429, 3641, 21453, 10578, 7765, 26071, 4187, 29276, 34528, 6629, 21863, 15338, 36976, 10873}"
264,"{33857, 29195}"
265,{19499}
266,{22628}
267,"{17763, 9222, 23145, 10893, 4853, 19478, 23292, 22813, 28703}"
268,{27413}
269,{19478}
270,{3527}
271,{16153}
272,"{7393, 8866, 35300, 33546, 4941, 29848, 23282, 25304, 14076, 16125, 21343}"
273,{33678}
274,{9420}
275,"{21216, 30389}"
276,{36853}
277,{22064}
278,{24639}
279,{36749}
280,{24939}
281,"{17648, 14714, 14020, 17207}"
282,"{1443, 24846}"
283,"{33704, 13899, 32591}"
284,"{1209, 28127, 5945, 17383}"
285,"{426, 2988, 26960, 29142, 11128, 18717, 36253, 6879}"
286,"{8216, 25920}"
287,"{35738, 35300, 18303}"
288,"{5729, 36665}"
289,{20941}
290,"{23089, 27847}"
291,"{4475, 29804, 15622, 35598}"
292,"{26502, 32519, 8108, 21298, 18260, 17529, 8027, 5819}"
293,{9607}
294,"{25920, 30898, 21765}"
295,"{27904, 6850, 27043, 17348, 14948, 9640, 26891, 35347, 24947, 19605, 28915, 27095, 8091, 35935, 20031}"
296,{17782}
297,"{3368, 32801}"
298,"{3457, 30595, 19589, 2442, 36109, 10514, 19987, 34587, 22813, 27816, 14249, 29355, 24880, 13361, 17205, 19000, 25275, 32956, 25920, 12866, 16584, 26441, 34633, 35146, 14026, 13142, 32342, 26459, 15452, 18139, 225, 7393, 24294, 27753, 15221, 30455, 22904, 14201}"
299,"{24385, 30819, 31686, 32743, 20551, 3725, 17237, 36153, 16412}"
300,"{16097, 11522, 33737, 8042, 33643, 12334, 10703, 4207, 35448, 29720, 24923, 8989}"
301,"{5331, 32404}"
302,"{18987, 16292, 7725, 5989}"
303,{3674}
304,"{20737, 17157}"
305,"{9915, 26846, 30982, 16646}"
306,{28701}
307,"{12384, 27972, 12102, 1675, 14734}"
308,{33475}
309,"{32674, 11012, 7824, 7287, 7903}"
310,{23240}
311,{20063}
312,{10200}
313,"{9243, 263}"
314,"{16184, 21913}"
315,"{5292, 10701, 1841, 4796, 30653}"
316,{17597}
317,"{33546, 16260}"
318,{27904}
319,"{27569, 28102, 23077, 6502}"
320,"{7417, 27562, 34283, 16501, 28153, 26842, 20635, 31775}"
321,"{7584, 603, 2924}"
322,"{23213, 10672, 33173, 36023, 21116, 4605}"
323,{8134}
324,{31992}
325,"{15792, 23857, 34194, 33747}"
326,{1826}
327,"{24763, 21691, 8093, 4822}"
328,{5558}
329,"{30087, 2623}"
330,"{11648, 33761, 33282, 27943, 11624, 7147, 16016, 26320, 5360, 30704, 13782, 1977, 30718}"
331,"{31136, 16826, 34403}"
332,"{22875, 36198}"
333,{9415}
334,{2459}
335,"{26836, 34509, 36599}"
336,"{23089, 12180}"
337,"{5601, 19824, 19094, 3670, 2523}"
338,"{27080, 1617, 35458, 7926}"
339,"{2561, 26529, 25793, 31076, 16356, 17287, 1447, 37065, 18217, 17644, 22385, 16339, 30803, 9012}"
340,"{891, 24109}"
341,{30360}
342,"{29198, 7103}"
343,{15983}
344,{32265}
345,"{24171, 11966}"
346,{24512}
347,"{9577, 14932, 10645, 17161}"
348,"{35080, 15534, 11126}"
349,"{22976, 33761, 17732, 6853, 33194, 27727, 28701, 5945, 33755, 19837}"
350,"{23008, 29124, 21037}"
351,{13726}
352,{22976}
353,"{15280, 18645}"
